Year,Year ending,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,195
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,514
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,316
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,545
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"1,473"
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,568
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,470
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B40 Theft,B49 Other theft,"2,262"
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,67
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"1,163"
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B50 Deception,B54 State false information,41
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,5
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B50 Deception,B59 Other deception offences,13
2023,June,Melbourne,3000,Melbourne,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,3
2023,June,Melbourne,3000,Melbourne,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,142
2023,June,Melbourne,3000,Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,2
2023,June,Melbourne,3000,Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,36
2023,June,Melbourne,3000,Melbourne,C Drug offences,C30 Drug use and possession,C31 Drug use,2
2023,June,Melbourne,3000,Melbourne,C Drug offences,C30 Drug use and possession,C32 Drug possession,829
2023,June,Melbourne,3000,Melbourne,C Drug offences,C90 Other drug offences,C99 Other drug offences,6
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,40
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,526
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,6
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,141
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,345
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,224
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,11
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,52
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,34
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,13
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D30 Public nuisance offences,D33 Begging,2
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,4
2023,June,Melbourne,3000,Melbourne,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,74
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,2
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,195
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,19
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,25
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,30
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,341
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,46
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"1,218"
2023,June,Melbourne,3000,Melbourne,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,55
2023,June,Melbourne,3000,Melbourne,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,1
2023,June,Melbourne,3000,Melbourne,F Other offences,F20 Transport regulation offences,F21 Public transport,7
2023,June,Melbourne,3000,Melbourne,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1
2023,June,Melbourne,3000,Melbourne,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,3
2023,June,Melbourne,3000,Melbourne,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,1
2023,June,Melbourne,3000,Melbourne,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,2
2023,June,Melbourne,3000,Melbourne,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,11
2023,June,Melbourne,3000,Melbourne,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,1
2023,June,Melbourne,3000,Melbourne,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,4
2023,June,Melbourne,3000,Melbourne,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,4
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,3
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,13
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",13
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,12
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,39
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,2
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,4
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,1
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,5
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2
2023,June,Melbourne,3002,East Melbourne,A Crimes against the person,Other crimes against the person,Other crimes against the person,69
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B20 Property damage,B21 Criminal damage,64
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B20 Property damage,B22 Graffiti,12
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B20 Property damage,B29 Other property damage offences,2
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,8
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,32
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,25
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,39
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,106
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B40 Theft,B43 Steal from a retail store,8
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,22
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,24
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B40 Theft,B49 Other theft,101
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,4
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,55
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B50 Deception,B54 State false information,2
2023,June,Melbourne,3002,East Melbourne,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,1
2023,June,Melbourne,3002,East Melbourne,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,5
2023,June,Melbourne,3002,East Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,1
2023,June,Melbourne,3002,East Melbourne,C Drug offences,C30 Drug use and possession,C31 Drug use,1
2023,June,Melbourne,3002,East Melbourne,C Drug offences,C30 Drug use and possession,C32 Drug possession,45
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,3
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,21
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,5
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,30
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,14
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,3
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,1
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,7
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,6
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1
2023,June,Melbourne,3002,East Melbourne,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1
2023,June,Melbourne,3002,East Melbourne,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,21
2023,June,Melbourne,3002,East Melbourne,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,11
2023,June,Melbourne,3002,East Melbourne,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,9
2023,June,Melbourne,3002,East Melbourne,F Other offences,F20 Transport regulation offences,F21 Public transport,5
2023,June,Melbourne,3002,East Melbourne,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,3
2023,June,Melbourne,3002,East Melbourne,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,5
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,14
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,19
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",13
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,26
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,35
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,8
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,1
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,4
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,3
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3
2023,June,Melbourne,3003,West Melbourne,A Crimes against the person,Other crimes against the person,Other crimes against the person,20
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B10 Arson,B11 Cause damage by fire,10
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B20 Property damage,B21 Criminal damage,92
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B20 Property damage,B22 Graffiti,60
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,9
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,57
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,33
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,50
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,106
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B40 Theft,B43 Steal from a retail store,4
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,44
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,26
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B40 Theft,B49 Other theft,227
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,4
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,36
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B50 Deception,B54 State false information,4
2023,June,Melbourne,3003,West Melbourne,B Property and deception offences,B50 Deception,B59 Other deception offences,2
2023,June,Melbourne,3003,West Melbourne,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,16
2023,June,Melbourne,3003,West Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,1
2023,June,Melbourne,3003,West Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,3
2023,June,Melbourne,3003,West Melbourne,C Drug offences,C30 Drug use and possession,C32 Drug possession,86
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,21
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,22
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,20
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,7
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,3
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,3
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,18
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1
2023,June,Melbourne,3003,West Melbourne,D Public order and security offences,D40 Public security offences,D43 Hacking,1
2023,June,Melbourne,3003,West Melbourne,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,33
2023,June,Melbourne,3003,West Melbourne,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,4
2023,June,Melbourne,3003,West Melbourne,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,1
2023,June,Melbourne,3003,West Melbourne,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,48
2023,June,Melbourne,3003,West Melbourne,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,16
2023,June,Melbourne,3003,West Melbourne,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,18
2023,June,Melbourne,3003,West Melbourne,F Other offences,F20 Transport regulation offences,F21 Public transport,2
2023,June,Melbourne,3003,West Melbourne,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,1
2023,June,Melbourne,3003,West Melbourne,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,1
2023,June,Melbourne,3003,West Melbourne,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,1
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,12
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,46
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",36
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,31
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,72
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,6
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,11
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,10
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,42
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,23
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,11
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,12
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,7
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,13
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,20
2023,June,Melbourne,3004,Melbourne,A Crimes against the person,Other crimes against the person,Other crimes against the person,118
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B10 Arson,B11 Cause damage by fire,1
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B20 Property damage,B21 Criminal damage,67
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B20 Property damage,B22 Graffiti,25
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B20 Property damage,B29 Other property damage offences,5
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,12
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,21
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,23
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,35
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,B43 Steal from a retail store,30
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,48
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,316
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,B46 Fare evasion,1
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,B49 Other theft,162
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,33
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,670
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B50 Deception,B54 State false information,9
2023,June,Melbourne,3004,Melbourne,B Property and deception offences,B50 Deception,B59 Other deception offences,50
2023,June,Melbourne,3004,Melbourne,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,1
2023,June,Melbourne,3004,Melbourne,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,135
2023,June,Melbourne,3004,Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,7
2023,June,Melbourne,3004,Melbourne,C Drug offences,C30 Drug use and possession,C31 Drug use,3
2023,June,Melbourne,3004,Melbourne,C Drug offences,C30 Drug use and possession,C32 Drug possession,160
2023,June,Melbourne,3004,Melbourne,C Drug offences,C90 Other drug offences,C99 Other drug offences,1
2023,June,Melbourne,3004,Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,15
2023,June,Melbourne,3004,Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,46
2023,June,Melbourne,3004,Melbourne,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1
2023,June,Melbourne,3004,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,34
