geography,year,topic,category,sub_category,value_description,value
East Melbourne,2016,Residents: Age and gender,Age - key groups,Youth (12-25 years),Count of persons,561.0
Greater Melbourne,2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,670090.0
Kensington,2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,1381.0
Kensington,2016,Residents: Age and gender,Age - key groups,Youth (12-25 years),Count of persons,1583.0
Kensington,2016,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,6494.0
Melbourne (CBD),2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,974.0
City of Melbourne,2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,7608.0
North Melbourne,2016,Residents: Age and gender,Age - key groups,Youth (12-25 years),Count of persons,4969.0
North Melbourne,2016,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,1515.0
Parkville,2016,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,2474.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,306.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,3167.0
West Melbourne (Residential),2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,306.0
West Melbourne (Residential),2016,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,347.0
Carlton,2011,Residents: Age and gender,Age - median,Median age,Age in years,25.97
Docklands,2011,Residents: Age and gender,Age - median,Median age,Age in years,32.82
City of Melbourne,2011,Residents: Age and gender,Age - median,Median age,Age in years,28.0
Parkville,2011,Residents: Age and gender,Age - median,Median age,Age in years,28.2
Southbank,2011,Residents: Age and gender,Age - median,Median age,Age in years,30.67
Carlton,2016,Residents: Age and gender,Age - median,Median age,Age in years,25.97
East Melbourne,2016,Residents: Age and gender,Age - median,Median age,Age in years,40.14
Greater Melbourne,2016,Residents: Age and gender,Age - median,Median age,Age in years,36.0
Kensington,2016,Residents: Age and gender,Age - median,Median age,Age in years,33.37
Southbank,2016,Residents: Age and gender,Age - median,Median age,Age in years,30.93
Carlton,2011,Residents: Age and gender,Age - 5 year groups,10-14 years,Count of persons,275.0
Carlton,2011,Residents: Age and gender,Age - 5 year groups,15-19 years,Count of persons,1348.0
Carlton,2011,Residents: Age and gender,Age - 5 year groups,25-29 years,Count of persons,2489.0
Carlton,2011,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,405.0
Carlton,2011,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,137.0
Carlton,2011,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,43.0
Carlton,2011,Residents: Age and gender,Age - 5 year groups,90-94 years,Count of persons,13.0
Carlton,2011,Residents: Age and gender,Age - 5 year groups,100 years and over,Count of persons,0.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,5-9 years,Count of persons,61.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,10-14 years,Count of persons,56.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,20-24 years,Count of persons,759.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,25-29 years,Count of persons,1102.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,65-69 years,Count of persons,141.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,70-74 years,Count of persons,65.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,30.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,6.0
Docklands,2011,Residents: Age and gender,Age - 5 year groups,100 years and over,Count of persons,0.0
East Melbourne,2011,Residents: Age and gender,Age - 5 year groups,5-9 years,Count of persons,54.0
East Melbourne,2011,Residents: Age and gender,Age - 5 year groups,45-49 years,Count of persons,280.0
East Melbourne,2011,Residents: Age and gender,Age - 5 year groups,55-59 years,Count of persons,293.0
East Melbourne,2011,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,106.0
East Melbourne,2011,Residents: Age and gender,Age - 5 year groups,80-84 years,Count of persons,88.0
East Melbourne,2011,Residents: Age and gender,Age - 5 year groups,95-99 years,Count of persons,11.0
Greater Melbourne,2011,Residents: Age and gender,Age - 5 year groups,0-4 years,Count of persons,259632.0
Greater Melbourne,2011,Residents: Age and gender,Age - 5 year groups,20-24 years,Count of persons,299851.0
Greater Melbourne,2011,Residents: Age and gender,Age - 5 year groups,25-29 years,Count of persons,317214.0
Greater Melbourne,2011,Residents: Age and gender,Age - 5 year groups,45-49 years,Count of persons,277825.0
Greater Melbourne,2011,Residents: Age and gender,Age - 5 year groups,65-69 years,Count of persons,154137.0
Greater Melbourne,2011,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,96856.0
Kensington,2011,Residents: Age and gender,Age - 5 year groups,0-4 years,Count of persons,673.0
Kensington,2011,Residents: Age and gender,Age - 5 year groups,35-39 years,Count of persons,1006.0
Kensington,2011,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,479.0
Kensington,2011,Residents: Age and gender,Age - 5 year groups,55-59 years,Count of persons,414.0
Kensington,2011,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,145.0
Kensington,2011,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,49.0
Kensington,2011,Residents: Age and gender,Age - 5 year groups,95-99 years,Count of persons,0.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,0-4 years,Count of persons,394.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,5-9 years,Count of persons,124.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,10-14 years,Count of persons,121.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,25-29 years,Count of persons,4704.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,571.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,55-59 years,Count of persons,493.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,80-84 years,Count of persons,76.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,42.0
Melbourne (CBD),2011,Residents: Age and gender,Age - 5 year groups,95-99 years,Count of persons,4.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,10-14 years,Count of persons,1696.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,15-19 years,Count of persons,6295.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,25-29 years,Count of persons,17867.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,35-39 years,Count of persons,6504.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,3636.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,975.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,80-84 years,Count of persons,772.0
City of Melbourne,2011,Residents: Age and gender,Age - 5 year groups,100 years and over,Count of persons,15.0
North Melbourne,2011,Residents: Age and gender,Age - 5 year groups,20-24 years,Count of persons,1942.0
North Melbourne,2011,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,502.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,0-4 years,Count of persons,163.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,5-9 years,Count of persons,106.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,20-24 years,Count of persons,1635.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,40-44 years,Count of persons,234.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,70-74 years,Count of persons,115.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,90.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,95-99 years,Count of persons,19.0
Parkville,2011,Residents: Age and gender,Age - 5 year groups,100 years and over,Count of persons,3.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Age and gender,Age - 5 year groups,15-19 years,Count of persons,281.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Age and gender,Age - 5 year groups,20-24 years,Count of persons,559.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,280.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Age and gender,Age - 5 year groups,65-69 years,Count of persons,315.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Age and gender,Age - 5 year groups,70-74 years,Count of persons,234.0
Southbank,2011,Residents: Age and gender,Age - 5 year groups,30-34 years,Count of persons,1663.0
Southbank,2011,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,457.0
Southbank,2011,Residents: Age and gender,Age - 5 year groups,60-64 years,Count of persons,375.0
Southbank,2011,Residents: Age and gender,Age - 5 year groups,65-69 years,Count of persons,238.0
Southbank,2011,Residents: Age and gender,Age - 5 year groups,70-74 years,Count of persons,144.0
Southbank,2011,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,9.0
Southbank,2011,Residents: Age and gender,Age - 5 year groups,95-99 years,Count of persons,0.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - 5 year groups,10-14 years,Count of persons,66.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - 5 year groups,20-24 years,Count of persons,616.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - 5 year groups,30-34 years,Count of persons,534.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - 5 year groups,35-39 years,Count of persons,349.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - 5 year groups,40-44 years,Count of persons,291.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - 5 year groups,60-64 years,Count of persons,113.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - 5 year groups,70-74 years,Count of persons,36.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,20-24 years,Count of persons,5971.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,30-34 years,Count of persons,1692.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,45-49 years,Count of persons,543.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,60-64 years,Count of persons,383.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,65-69 years,Count of persons,343.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,70-74 years,Count of persons,217.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,204.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,90.0
Carlton,2016,Residents: Age and gender,Age - 5 year groups,90-94 years,Count of persons,52.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,5-9 years,Count of persons,148.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,10-14 years,Count of persons,75.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,25-29 years,Count of persons,2370.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,40-44 years,Count of persons,600.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,55-59 years,Count of persons,480.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,65-69 years,Count of persons,311.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,74.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,80-84 years,Count of persons,26.0
Docklands,2016,Residents: Age and gender,Age - 5 year groups,95-99 years,Count of persons,0.0
East Melbourne,2016,Residents: Age and gender,Age - 5 year groups,10-14 years,Count of persons,69.0
East Melbourne,2016,Residents: Age and gender,Age - 5 year groups,40-44 years,Count of persons,256.0
East Melbourne,2016,Residents: Age and gender,Age - 5 year groups,50-54 years,Count of persons,268.0
East Melbourne,2016,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,108.0
East Melbourne,2016,Residents: Age and gender,Age - 5 year groups,85-89 years,Count of persons,79.0
Greater Melbourne,2016,Residents: Age and gender,Age - 5 year groups,0-4 years,Count of persons,287178.0
Greater Melbourne,2016,Residents: Age and gender,Age - 5 year groups,45-49 years,Count of persons,307580.0
Greater Melbourne,2016,Residents: Age and gender,Age - 5 year groups,65-69 years,Count of persons,197002.0
Greater Melbourne,2016,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,112832.0
Kensington,2016,Residents: Age and gender,Age - 5 year groups,35-39 years,Count of persons,1124.0
Melbourne (CBD),2016,Residents: Age and gender,Age - 5 year groups,15-19 years,Count of persons,3471.0
Melbourne (CBD),2016,Residents: Age and gender,Age - 5 year groups,30-34 years,Count of persons,5012.0
Melbourne (CBD),2016,Residents: Age and gender,Age - 5 year groups,45-49 years,Count of persons,947.0
Melbourne (CBD),2016,Residents: Age and gender,Age - 5 year groups,55-59 years,Count of persons,697.0
Melbourne (CBD),2016,Residents: Age and gender,Age - 5 year groups,75-79 years,Count of persons,141.0
Melbourne (CBD),2016,Residents: Age and gender,Age - 5 year groups,80-84 years,Count of persons,54.0
Melbourne (CBD),2016,Residents: Age and gender,Age - 5 year groups,90-94 years,Count of persons,13.0
Greater Melbourne,2011,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,205434.0
Greater Melbourne,2011,Residents: Education,Non-school qualification: field of study,Creative Arts,Count of persons aged 15 years and over with a qualification,78760.0
Greater Melbourne,2011,Residents: Education,Non-school qualification: field of study,Food Hospitality and Personal Services,Count of persons aged 15 years and over with a qualification,92011.0
Kensington,2011,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,498.0
Kensington,2011,Residents: Education,Non-school qualification: field of study,Agriculture Environmental and Related Studies,Count of persons aged 15 years and over with a qualification,88.0
Kensington,2011,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,364.0
Melbourne (CBD),2011,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,1122.0
Melbourne (CBD),2011,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,506.0
Melbourne (CBD),2011,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,595.0
City of Melbourne,2011,Residents: Education,Education institution attendance,Attending,Count of persons,28452.0
City of Melbourne,2011,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,2308.0
City of Melbourne,2011,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,4567.0
City of Melbourne,2011,Residents: Education,Non-school qualification: field of study,Management and Commerce,Count of persons aged 15 years and over with a qualification,13516.0
City of Melbourne,2011,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,7695.0
City of Melbourne,2011,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,11275.0
North Melbourne,2011,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,532.0
North Melbourne,2011,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,1045.0
North Melbourne,2011,Residents: Education,Non-school qualification: field of study,Field of study inadequately described,Count of persons aged 15 years and over with a qualification,128.0
Parkville,2011,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,181.0
Parkville,2011,Residents: Education,Non-school qualification: field of study,Field of study inadequately described,Count of persons aged 15 years and over with a qualification,77.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,641.0
Southbank,2011,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,699.0
Southbank,2011,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,197.0
Southbank,2011,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,527.0
Southbank,2011,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,269.0
Southbank,2011,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,845.0
Southbank,2011,Residents: Education,Non-school qualification: field of study,Creative Arts,Count of persons aged 15 years and over with a qualification,473.0
West Melbourne (Residential),2011,Residents: Education,Non-school qualification: field of study,Natural and Physical Sciences,Count of persons aged 15 years and over with a qualification,83.0
West Melbourne (Residential),2011,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,164.0
Carlton,2016,Residents: Education,Non-school qualification: field of study,Information Technology,Count of persons aged 15 years and over with a qualification,571.0
Carlton,2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,474.0
Carlton,2016,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,732.0
Carlton,2016,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,389.0
Carlton,2016,Residents: Education,Non-school qualification: field of study,Management and Commerce,Count of persons aged 15 years and over with a qualification,2096.0
Carlton,2016,Residents: Education,Non-school qualification: field of study,Food Hospitality and Personal Services,Count of persons aged 15 years and over with a qualification,249.0
Carlton,2016,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,1879.0
Docklands,2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,229.0
East Melbourne,2016,Residents: Education,Non-school qualification: field of study,Natural and Physical Sciences,Count of persons aged 15 years and over with a qualification,123.0
East Melbourne,2016,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,216.0
East Melbourne,2016,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,461.0
East Melbourne,2016,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,221.0
East Melbourne,2016,Residents: Education,Non-school qualification: field of study,Management and Commerce,Count of persons aged 15 years and over with a qualification,748.0
East Melbourne,2016,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,657.0
East Melbourne,2016,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,548.0
Greater Melbourne,2016,Residents: Education,Non-school qualification: field of study,Natural and Physical Sciences,Count of persons aged 15 years and over with a qualification,80162.0
Melbourne (CBD),2016,Residents: Education,Non-school qualification: field of study,Information Technology,Count of persons aged 15 years and over with a qualification,1909.0
Greater Melbourne,2016,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,295972.0
Greater Melbourne,2016,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,269085.0
Greater Melbourne,2016,Residents: Education,Non-school qualification: field of study,Creative Arts,Count of persons aged 15 years and over with a qualification,101396.0
Greater Melbourne,2016,Residents: Education,Non-school qualification: field of study,Mixed Field Programmes,Count of persons aged 15 years and over with a qualification,5977.0
Greater Melbourne,2016,Residents: Education,Non-school qualification: field of study,Field of study inadequately described,Count of persons aged 15 years and over with a qualification,36795.0
Kensington,2016,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,693.0
Kensington,2016,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,1038.0
Kensington,2016,Residents: Education,Non-school qualification: field of study,Food Hospitality and Personal Services,Count of persons aged 15 years and over with a qualification,202.0
Kensington,2016,Residents: Education,Non-school qualification: field of study,Mixed Field Programmes,Count of persons aged 15 years and over with a qualification,9.0
Melbourne (CBD),2016,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,2306.0
Melbourne (CBD),2016,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,572.0
Melbourne (CBD),2016,Residents: Education,Non-school qualification: field of study,Mixed Field Programmes,Count of persons aged 15 years and over with a qualification,275.0
Melbourne (CBD),2016,Residents: Education,Non-school qualification: field of study,Field of study inadequately described,Count of persons aged 15 years and over with a qualification,363.0
Melbourne (CBD),2016,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,4632.0
City of Melbourne,2016,Residents: Education,Non-school qualification: field of study,Natural and Physical Sciences,Count of persons aged 15 years and over with a qualification,4561.0
City of Melbourne,2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,3019.0
City of Melbourne,2016,Residents: Education,Non-school qualification: field of study,Health,Count of persons aged 15 years and over with a qualification,6133.0
City of Melbourne,2016,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,3265.0
North Melbourne,2016,Residents: Education,Non-school qualification: field of study,Natural and Physical Sciences,Count of persons aged 15 years and over with a qualification,690.0
North Melbourne,2016,Residents: Education,Non-school qualification: field of study,Information Technology,Count of persons aged 15 years and over with a qualification,416.0
North Melbourne,2016,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,833.0
North Melbourne,2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,330.0
North Melbourne,2016,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,347.0
North Melbourne,2016,Residents: Education,Non-school qualification: field of study,Food Hospitality and Personal Services,Count of persons aged 15 years and over with a qualification,271.0
North Melbourne,2016,Residents: Education,Non-school qualification: field of study,Mixed Field Programmes,Count of persons aged 15 years and over with a qualification,59.0
Parkville,2016,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,358.0
Parkville,2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,136.0
Parkville,2016,Residents: Education,Non-school qualification: field of study,Agriculture Environmental and Related Studies,Count of persons aged 15 years and over with a qualification,42.0
Parkville,2016,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,705.0
Parkville,2016,Residents: Education,Non-school qualification: field of study,Field of study inadequately described,Count of persons aged 15 years and over with a qualification,90.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,168.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,267.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Non-school qualification: field of study,Management and Commerce,Count of persons aged 15 years and over with a qualification,976.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,731.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Non-school qualification: field of study,Mixed Field Programmes,Count of persons aged 15 years and over with a qualification,0.0
East Melbourne,2016,Residents: Age and gender,Gender,Females,Count of persons,2510.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,771.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Natural and Physical Sciences,Count of persons aged 15 years and over with a qualification,519.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Information Technology,Count of persons aged 15 years and over with a qualification,977.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Engineering and Related Technologies,Count of persons aged 15 years and over with a qualification,1234.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,352.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Agriculture Environmental and Related Studies,Count of persons aged 15 years and over with a qualification,70.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Management and Commerce,Count of persons aged 15 years and over with a qualification,3850.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Food Hospitality and Personal Services,Count of persons aged 15 years and over with a qualification,576.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Mixed Field Programmes,Count of persons aged 15 years and over with a qualification,41.0
Southbank,2016,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,2421.0
West Melbourne (Residential),2016,Residents: Education,Non-school qualification: field of study,Architecture and Building,Count of persons aged 15 years and over with a qualification,123.0
West Melbourne (Residential),2016,Residents: Education,Non-school qualification: field of study,Education,Count of persons aged 15 years and over with a qualification,133.0
West Melbourne (Residential),2016,Residents: Education,Non-school qualification: field of study,Society and Culture,Count of persons aged 15 years and over with a qualification,484.0
West Melbourne (Residential),2016,Residents: Education,Non-school qualification: field of study,Field of study not stated,Count of persons aged 15 years and over with a qualification,871.0
Carlton,2011,Residents: Education,Education institution attendance,Not attending,Count of persons,6020.0
Docklands,2011,Residents: Education,Education institution attendance,Not attending,Count of persons,3792.0
Docklands,2011,Residents: Education,Education institution attendance,Not stated,Count of persons,996.0
East Melbourne,2011,Residents: Education,Education institution attendance,Not stated,Count of persons,512.0
Greater Melbourne,2011,Residents: Education,Education institution attendance,Not stated,Count of persons,265617.0
North Melbourne,2011,Residents: Education,Education institution attendance,Attending,Count of persons,3512.0
Parkville,2011,Residents: Education,Education institution attendance,Not stated,Count of persons,448.0
Southbank,2011,Residents: Education,Education institution attendance,Not attending,Count of persons,7489.0
West Melbourne (Residential),2011,Residents: Education,Education institution attendance,Not attending,Count of persons,2151.0
Carlton,2016,Residents: Education,Education institution attendance,Not stated,Count of persons,1868.0
East Melbourne,2016,Residents: Education,Education institution attendance,Not stated,Count of persons,537.0
Kensington,2016,Residents: Education,Education institution attendance,Not attending,Count of persons,7645.0
City of Melbourne,2016,Residents: Education,Education institution attendance,Attending,Count of persons,48068.0
