Age,Gender,Geography,Year,Value
Age 45-49,Female,City of Melbourne,2023,3135
Age 45-49,Female,City of Melbourne,2025,3669
Age 45-49,Female,City of Melbourne,2028,4845
Age 45-49,Female,City of Melbourne,2032,7529
Age 45-49,Female,City of Melbourne,2035,9559
Age 45-49,Male,City of Melbourne,2032,7603
Age 45-49,Male,City of Melbourne,2033,8280
Age 45-49,Male,City of Melbourne,2034,9007
Age 45-49,Male,City of Melbourne,2036,10241
Age 45-49,Male,City of Melbourne,2039,12749
Age 50-54,Female,City of Melbourne,2021,2489
Age 50-54,Female,City of Melbourne,2023,2611
Age 50-54,Female,City of Melbourne,2026,3085
Age 50-54,Female,City of Melbourne,2027,3335
Age 50-54,Female,City of Melbourne,2029,3734
Age 50-54,Female,City of Melbourne,2030,3987
Age 50-54,Female,City of Melbourne,2033,5065
Age 50-54,Female,City of Melbourne,2034,5575
Age 50-54,Female,City of Melbourne,2036,7025
Age 50-54,Female,City of Melbourne,2037,7662
Age 50-54,Female,City of Melbourne,2039,9019
Age 50-54,Male,City of Melbourne,2021,2450
Age 50-54,Male,City of Melbourne,2023,2570
Age 50-54,Male,City of Melbourne,2024,2679
Age 50-54,Male,City of Melbourne,2025,2836
Age 50-54,Male,City of Melbourne,2026,3036
Age 50-54,Male,City of Melbourne,2032,4524
Age 50-54,Male,City of Melbourne,2040,9493
Age 50-54,Male,City of Melbourne,2041,10056
Age 55-59,Female,City of Melbourne,2021,2472
Age 55-59,Female,City of Melbourne,2023,2495
Age 55-59,Female,City of Melbourne,2027,2718
Age 55-59,Female,City of Melbourne,2028,2833
Age 55-59,Female,City of Melbourne,2030,3063
Age 55-59,Female,City of Melbourne,2037,4592
Age 55-59,Female,City of Melbourne,2038,5039
Age 55-59,Female,City of Melbourne,2039,5528
Age 55-59,Male,City of Melbourne,2024,2497
Age 55-59,Male,City of Melbourne,2027,2640
Age 55-59,Male,City of Melbourne,2032,3352
Age 55-59,Male,City of Melbourne,2037,4460
Age 55-59,Male,City of Melbourne,2038,4895
Age 55-59,Male,City of Melbourne,2039,5370
Age 60-64,Female,City of Melbourne,2025,2189
Age 60-64,Female,City of Melbourne,2027,2285
Age 60-64,Female,City of Melbourne,2030,2407
Age 60-64,Female,City of Melbourne,2031,2407
Age 60-64,Female,City of Melbourne,2032,2439
Age 60-64,Female,City of Melbourne,2035,2705
Age 60-64,Female,City of Melbourne,2039,3343
Age 60-64,Female,City of Melbourne,2041,3740
Age 60-64,Male,City of Melbourne,2026,2248
Age 60-64,Male,City of Melbourne,2029,2341
Age 60-64,Male,City of Melbourne,2030,2365
Age 60-64,Male,City of Melbourne,2032,2397
Age 60-64,Male,City of Melbourne,2033,2483
Age 60-64,Male,City of Melbourne,2034,2559
Age 60-64,Male,City of Melbourne,2035,2659
Age 60-64,Male,City of Melbourne,2038,3100
Age 65-69,Female,City of Melbourne,2022,1902
Age 65-69,Female,City of Melbourne,2030,2097
Age 65-69,Female,City of Melbourne,2035,2243
Age 65-69,Female,City of Melbourne,2037,2257
Age 65-69,Male,City of Melbourne,2021,1806
Age 65-69,Male,City of Melbourne,2027,2010
Age 65-69,Male,City of Melbourne,2028,2020
Age 65-69,Male,City of Melbourne,2030,2002
Age 65-69,Male,City of Melbourne,2033,2086
Age 65-69,Male,City of Melbourne,2034,2130
Age 65-69,Male,City of Melbourne,2035,2142
Age 65-69,Male,City of Melbourne,2040,2379
Age 65-69,Male,City of Melbourne,2041,2508
Age 70-74,Female,City of Melbourne,2022,1610
Age 70-74,Female,City of Melbourne,2029,1941
Age 70-74,Female,City of Melbourne,2031,1946
Age 70-74,Female,City of Melbourne,2034,1994
Age 70-74,Female,City of Melbourne,2036,2043
Age 70-74,Female,City of Melbourne,2037,2022
Age 70-74,Female,City of Melbourne,2040,2089
Age 70-74,Male,City of Melbourne,2026,1851
Age 70-74,Male,City of Melbourne,2029,1979
Age 70-74,Male,City of Melbourne,2031,1984
Age 70-74,Male,City of Melbourne,2035,2011
Age 70-74,Male,City of Melbourne,2037,2062
Age 70-74,Male,City of Melbourne,2039,2122
Age 75-79,Female,City of Melbourne,2021,481
Age 75-79,Female,City of Melbourne,2023,765
Age 75-79,Female,City of Melbourne,2024,956
Age 75-79,Female,City of Melbourne,2025,1177
Age 75-79,Female,City of Melbourne,2030,1644
Age 75-79,Female,City of Melbourne,2031,1681
Age 75-79,Female,City of Melbourne,2034,1778
Age 75-79,Female,City of Melbourne,2035,1801
Age 75-79,Female,City of Melbourne,2040,1788
Age 75-79,Male,City of Melbourne,2022,666
Age 75-79,Male,City of Melbourne,2027,1601
Age 75-79,Male,City of Melbourne,2034,1879
Age 75-79,Male,City of Melbourne,2035,1903
Age 75-79,Male,City of Melbourne,2037,1918
Age 75-79,Male,City of Melbourne,2038,1919
Age 75-79,Male,City of Melbourne,2040,1890
Age 80-84,Female,City of Melbourne,2021,304
Age 80-84,Female,City of Melbourne,2022,334
Age 80-84,Female,City of Melbourne,2025,450
Age 80-84,Female,City of Melbourne,2031,1292
Age 80-84,Female,City of Melbourne,2034,1463
Age 80-84,Female,City of Melbourne,2035,1476
Age 80-84,Female,City of Melbourne,2036,1508
Age 80-84,Female,City of Melbourne,2038,1552
Age 80-84,Female,City of Melbourne,2041,1578
Age 80-84,Male,City of Melbourne,2021,293
Age 80-84,Male,City of Melbourne,2025,433
Age 80-84,Male,City of Melbourne,2026,486
Age 80-84,Male,City of Melbourne,2027,617
Age 80-84,Male,City of Melbourne,2029,889
Age 80-84,Male,City of Melbourne,2033,1393
Age 80-84,Male,City of Melbourne,2034,1410
Age 80-84,Male,City of Melbourne,2035,1423
Age 80-84,Male,City of Melbourne,2037,1457
Age 80-84,Male,City of Melbourne,2038,1496
Age 80-84,Male,City of Melbourne,2039,1524
Age 80-84,Male,City of Melbourne,2040,1541
Age 80-84,Male,City of Melbourne,2041,1521
Age 85+,Female,City of Melbourne,2028,484
Age 85+,Female,City of Melbourne,2035,1131
Age 85+,Female,City of Melbourne,2040,1643
Age 85+,Male,City of Melbourne,2025,242
Age 85+,Male,City of Melbourne,2026,255
Age 85+,Male,City of Melbourne,2027,281
Age 85+,Male,City of Melbourne,2030,354
Age 85+,Male,City of Melbourne,2035,706
Age 85+,Male,City of Melbourne,2038,926
Age 85+,Male,City of Melbourne,2040,1027
Age 0-4,Female,Carlton,2024,253
Age 0-4,Female,Carlton,2023,222
Age 0-4,Female,Carlton,2026,317
Age 0-4,Female,Carlton,2028,353
Age 0-4,Female,Carlton,2031,423
Age 0-4,Female,Carlton,2033,476
Age 0-4,Female,Carlton,2036,627
Age 0-4,Female,Carlton,2040,654
Age 0-4,Male,Carlton,2023,232
Age 0-4,Male,Carlton,2024,267
Age 0-4,Male,Carlton,2021,180
Age 0-4,Male,Carlton,2025,306
Age 0-4,Male,Carlton,2026,334
Age 0-4,Male,Carlton,2029,385
Age 0-4,Male,Carlton,2030,404
Age 0-4,Male,Carlton,2032,441
Age 0-4,Male,Carlton,2033,457
Age 5-9,Female,Carlton,2021,181
Age 5-9,Female,Carlton,2022,181
Age 5-9,Female,Carlton,2026,198
Age 5-9,Female,Carlton,2030,346
Age 5-9,Female,Carlton,2036,483
Age 5-9,Female,Carlton,2037,493
Age 5-9,Female,Carlton,2038,490
Age 5-9,Female,Carlton,2041,482
Age 5-9,Male,Carlton,2025,193
Age 5-9,Male,Carlton,2026,201
Age 5-9,Male,Carlton,2027,240
Age 5-9,Male,Carlton,2031,388
Age 5-9,Male,Carlton,2036,483
Age 5-9,Male,Carlton,2038,488
Age 10-14,Female,Carlton,2024,144
Age 10-14,Female,Carlton,2023,141
Age 10-14,Female,Carlton,2030,139
Age 10-14,Female,Carlton,2031,147
Age 10-14,Female,Carlton,2034,263
Age 10-14,Female,Carlton,2035,292
Age 10-14,Female,Carlton,2040,347
Age 10-14,Female,Carlton,2041,351
Age 10-14,Male,Carlton,2024,180
Age 10-14,Male,Carlton,2021,186
Age 10-14,Male,Carlton,2029,161
Age 10-14,Male,Carlton,2030,168
Age 10-14,Male,Carlton,2035,383
Age 10-14,Male,Carlton,2037,428
Age 10-14,Male,Carlton,2040,453
Age 15-19,Female,Carlton,2026,1034
Age 15-19,Female,Carlton,2030,1142
Age 15-19,Female,Carlton,2033,1212
Age 15-19,Female,Carlton,2034,1272
Age 15-19,Female,Carlton,2035,1351
Age 15-19,Female,Carlton,2039,1601
Age 15-19,Female,Carlton,2040,1724
Age 15-19,Female,Carlton,2041,1781
Age 15-19,Male,Carlton,2021,660
Age 15-19,Male,Carlton,2029,924
Age 15-19,Male,Carlton,2035,1114
Age 15-19,Male,Carlton,2040,1412
Age 15-19,Male,Carlton,2041,1455
Age 20-24,Female,Carlton,2024,2723
Age 20-24,Female,Carlton,2023,2755
Age 20-24,Female,Carlton,2025,2794
Age 20-24,Female,Carlton,2029,3510
Age 20-24,Female,Carlton,2031,3813
Age 20-24,Female,Carlton,2032,3887
Age 20-24,Female,Carlton,2034,4084
Age 20-24,Female,Carlton,2040,4573
Age 20-24,Male,Carlton,2023,2381
Age 20-24,Male,Carlton,2024,2353
Age 20-24,Male,Carlton,2028,2783
Age 20-24,Male,Carlton,2029,3002
Age 20-24,Male,Carlton,2033,3321
Age 20-24,Male,Carlton,2037,3707
Age 20-24,Male,Carlton,2041,3719
Age 25-29,Female,Carlton,2024,1825
Age 25-29,Female,Carlton,2028,2157
Age 25-29,Female,Carlton,2031,2277
Age 25-29,Female,Carlton,2035,2799
Age 25-29,Female,Carlton,2036,2853
Age 25-29,Female,Carlton,2037,2906
Age 25-29,Female,Carlton,2038,2822
Age 25-29,Female,Carlton,2039,2742
Age 25-29,Male,Carlton,2021,1661
Age 25-29,Male,Carlton,2022,1656
Age 25-29,Male,Carlton,2032,2132
Age 25-29,Male,Carlton,2035,2431
Age 25-29,Male,Carlton,2037,2493
Age 25-29,Male,Carlton,2038,2419
Age 25-29,Male,Carlton,2040,2373
Age 25-29,Male,Carlton,2041,2322
Age 30-34,Female,Carlton,2024,1128
Age 30-34,Female,Carlton,2021,880
Age 30-34,Female,Carlton,2025,1227
Age 30-34,Female,Carlton,2027,1254
Age 30-34,Female,Carlton,2028,1274
Age 30-34,Female,Carlton,2030,1295
Age 30-34,Female,Carlton,2032,1433
Age 30-34,Female,Carlton,2034,1489
Age 30-34,Female,Carlton,2037,1527
Age 30-34,Female,Carlton,2038,1541
Age 30-34,Female,Carlton,2040,1601
Age 30-34,Female,Carlton,2041,1557
Age 30-34,Male,Carlton,2024,1143
Age 30-34,Male,Carlton,2029,1290
Age 30-34,Male,Carlton,2030,1312
Age 30-34,Male,Carlton,2033,1475
Age 30-34,Male,Carlton,2038,1560
Age 30-34,Male,Carlton,2039,1579
Age 35-39,Female,Carlton,2024,734
Age 35-39,Female,Carlton,2025,805
Age 35-39,Female,Carlton,2029,1076
Age 35-39,Female,Carlton,2033,1184
Age 35-39,Female,Carlton,2038,1350
Age 35-39,Female,Carlton,2040,1310
Age 35-39,Male,Carlton,2022,575
Age 35-39,Male,Carlton,2027,867
Age 35-39,Male,Carlton,2032,1235
Age 35-39,Male,Carlton,2033,1230
Age 35-39,Male,Carlton,2036,1377
Age 35-39,Male,Carlton,2037,1504
Age 35-39,Male,Carlton,2040,1421
Age 35-39,Male,Carlton,2041,1313
Age 40-44,Female,Carlton,2021,238
Age 40-44,Female,Carlton,2032,744
Age 40-44,Female,Carlton,2033,815
Age 40-44,Female,Carlton,2034,926
Age 40-44,Female,Carlton,2037,1154
Age 40-44,Male,Carlton,2024,424
Age 40-44,Male,Carlton,2026,544
Age 40-44,Male,Carlton,2027,590
Age 40-44,Male,Carlton,2033,984
Age 40-44,Male,Carlton,2034,1127
Age 40-44,Male,Carlton,2036,1370
Age 45-49,Female,Carlton,2024,288
Age 45-49,Female,Carlton,2023,262
Age 45-49,Female,Carlton,2026,322
Age 45-49,Female,Carlton,2027,357
Age 45-49,Female,Carlton,2032,617
Age 45-49,Female,Carlton,2033,674
Age 45-49,Female,Carlton,2034,751
Age 45-49,Female,Carlton,2035,831
Age 45-49,Female,Carlton,2036,891
Age 45-49,Male,Carlton,2025,333
Age 45-49,Male,Carlton,2031,629
Age 45-49,Male,Carlton,2036,1211
Age 50-54,Female,Carlton,2021,244
Age 50-54,Female,Carlton,2025,295
Age 50-54,Female,Carlton,2026,308
Age 50-54,Female,Carlton,2031,411
Age 50-54,Female,Carlton,2036,782
Age 50-54,Female,Carlton,2039,953
Age 50-54,Male,Carlton,2024,246
Age 50-54,Male,Carlton,2022,221
Age 50-54,Male,Carlton,2025,261
Age 50-54,Male,Carlton,2027,286
Age 50-54,Male,Carlton,2029,325
Age 55-59,Female,Carlton,2023,239
Age 55-59,Female,Carlton,2024,247
Age 55-59,Female,Carlton,2029,263
Age 55-59,Female,Carlton,2034,363
Age 55-59,Female,Carlton,2036,426
Age 55-59,Female,Carlton,2038,487
Age 55-59,Male,Carlton,2022,177
Age 55-59,Male,Carlton,2026,186
Age 55-59,Male,Carlton,2036,306
Age 60-64,Female,Carlton,2023,219
Age 60-64,Female,Carlton,2026,225
Age 60-64,Female,Carlton,2028,225
Age 60-64,Female,Carlton,2030,238
Age 60-64,Female,Carlton,2034,279
Age 60-64,Female,Carlton,2035,302
Age 60-64,Male,Carlton,2021,143
Age 60-64,Male,Carlton,2025,151
Age 60-64,Male,Carlton,2027,150
Age 60-64,Male,Carlton,2031,152
Age 60-64,Male,Carlton,2032,155
Age 60-64,Male,Carlton,2035,172
Age 65-69,Female,Carlton,2021,212
Age 65-69,Female,Carlton,2029,237
Age 65-69,Female,Carlton,2036,241
Age 65-69,Female,Carlton,2037,243
Age 65-69,Female,Carlton,2040,257
Age 65-69,Male,Carlton,2021,107
Age 65-69,Male,Carlton,2032,116
Age 65-69,Male,Carlton,2035,124
Age 65-69,Male,Carlton,2038,120
Age 70-74,Female,Carlton,2032,193
Age 70-74,Female,Carlton,2035,193
Age 70-74,Female,Carlton,2039,187
Age 70-74,Male,Carlton,2023,181
Age 70-74,Male,Carlton,2021,153
Age 70-74,Male,Carlton,2022,166
Age 70-74,Male,Carlton,2027,185
Age 70-74,Male,Carlton,2029,193
Age 70-74,Male,Carlton,2032,208
Age 70-74,Male,Carlton,2035,202
Age 70-74,Male,Carlton,2036,211
Age 70-74,Male,Carlton,2037,213
Age 70-74,Male,Carlton,2038,205
Age 75-79,Female,Carlton,2023,79
Age 75-79,Female,Carlton,2021,47
Age 75-79,Female,Carlton,2028,143
Age 75-79,Female,Carlton,2030,149
Age 75-79,Female,Carlton,2033,154
Age 75-79,Female,Carlton,2035,164
Age 75-79,Female,Carlton,2040,138
Age 75-79,Male,Carlton,2024,122
Age 75-79,Male,Carlton,2021,56
Age 75-79,Male,Carlton,2025,148
Age 75-79,Male,Carlton,2028,178
Age 75-79,Male,Carlton,2030,176
Age 75-79,Male,Carlton,2031,181
Age 75-79,Male,Carlton,2032,184
Age 75-79,Male,Carlton,2034,190
Age 75-79,Male,Carlton,2037,183
Age 75-79,Male,Carlton,2038,175
Age 75-79,Male,Carlton,2039,169
Age 75-79,Male,Carlton,2041,163
Age 80-84,Female,Carlton,2022,46
Age 80-84,Female,Carlton,2030,122
Age 80-84,Female,Carlton,2031,151
Age 80-84,Female,Carlton,2032,156
Age 80-84,Female,Carlton,2033,167
Age 80-84,Female,Carlton,2034,175
Age 80-84,Female,Carlton,2036,174
Age 80-84,Female,Carlton,2038,156
Age 80-84,Female,Carlton,2041,142
Age 80-84,Male,Carlton,2021,21
Age 80-84,Male,Carlton,2022,23
Age 80-84,Male,Carlton,2026,33
Age 80-84,Male,Carlton,2035,106
Age 80-84,Male,Carlton,2038,98
Age 80-84,Male,Carlton,2039,93
Age 80-84,Male,Carlton,2040,95
Age 85+,Female,Carlton,2024,26
Age 85+,Female,Carlton,2027,31
Age 85+,Female,Carlton,2030,39
Age 85+,Female,Carlton,2034,72
Age 85+,Female,Carlton,2037,105
Age 85+,Female,Carlton,2039,114
Age 85+,Male,Carlton,2021,13
Age 85+,Male,Carlton,2022,14
Age 85+,Male,Carlton,2024,17
Age 85+,Male,Carlton,2033,38
Age 85+,Male,Carlton,2036,59
Age 85+,Male,Carlton,2038,65
Age 85+,Male,Carlton,2041,72
Age 0-4,Female,Docklands,2030,729
Age 0-4,Female,Docklands,2031,761
Age 0-4,Female,Docklands,2036,839
Age 0-4,Female,Docklands,2039,877
Age 0-4,Female,Docklands,2041,894
Age 0-4,Male,Docklands,2024,536
Age 0-4,Male,Docklands,2025,608
Age 0-4,Male,Docklands,2026,668
Age 0-4,Male,Docklands,2027,714
Age 0-4,Male,Docklands,2028,757
Age 0-4,Male,Docklands,2034,955
Age 0-4,Male,Docklands,2036,971
Age 0-4,Male,Docklands,2040,1034
Age 5-9,Female,Docklands,2021,202
Age 5-9,Female,Docklands,2023,194
Age 5-9,Female,Docklands,2024,210
Age 5-9,Female,Docklands,2025,228
Age 5-9,Female,Docklands,2029,387
Age 5-9,Female,Docklands,2030,430
Age 5-9,Female,Docklands,2033,559
Age 5-9,Female,Docklands,2034,590
Age 5-9,Female,Docklands,2036,645
Age 5-9,Female,Docklands,2038,687
Age 5-9,Male,Docklands,2023,130
Age 5-9,Male,Docklands,2024,135
Age 5-9,Male,Docklands,2025,142
Age 5-9,Male,Docklands,2027,207
Age 5-9,Male,Docklands,2028,246
Age 5-9,Male,Docklands,2029,280
Age 5-9,Male,Docklands,2030,320
Age 5-9,Male,Docklands,2031,358
Age 5-9,Male,Docklands,2037,489
Age 5-9,Male,Docklands,2039,520
Age 5-9,Male,Docklands,2040,528
Age 5-9,Male,Docklands,2041,535
Age 10-14,Female,Docklands,2022,53
Age 10-14,Female,Docklands,2023,51
Age 10-14,Female,Docklands,2029,74
Age 10-14,Female,Docklands,2030,76
Age 10-14,Female,Docklands,2034,156
Age 10-14,Female,Docklands,2037,239
Age 10-14,Female,Docklands,2038,259
Age 10-14,Male,Docklands,2021,71
Age 10-14,Male,Docklands,2023,66
Age 10-14,Male,Docklands,2030,94
Age 10-14,Male,Docklands,2032,134
Age 10-14,Male,Docklands,2033,168
Age 10-14,Male,Docklands,2034,206
Age 10-14,Male,Docklands,2038,307
Age 10-14,Male,Docklands,2041,360
Age 15-19,Female,Docklands,2024,235
Age 15-19,Female,Docklands,2025,283
Age 15-19,Female,Docklands,2029,325
Age 15-19,Female,Docklands,2037,311
Age 15-19,Female,Docklands,2040,379
Age 15-19,Female,Docklands,2041,399
Age 15-19,Male,Docklands,2022,190
Age 15-19,Male,Docklands,2026,278
Age 15-19,Male,Docklands,2029,291
Age 15-19,Male,Docklands,2030,288
Age 15-19,Male,Docklands,2037,284
Age 15-19,Male,Docklands,2038,308
Age 15-19,Male,Docklands,2040,347
Age 20-24,Female,Docklands,2025,1053
Age 20-24,Female,Docklands,2027,1136
Age 20-24,Female,Docklands,2028,1205
Age 20-24,Female,Docklands,2029,1265
Age 20-24,Female,Docklands,2031,1305
Age 20-24,Female,Docklands,2033,1269
Age 20-24,Female,Docklands,2040,1164
Age 20-24,Male,Docklands,2021,1094
Age 20-24,Male,Docklands,2023,964
Age 20-24,Male,Docklands,2032,1227
Age 20-24,Male,Docklands,2034,1188
Age 20-24,Male,Docklands,2039,1141
Age 20-24,Male,Docklands,2041,1146
Age 25-29,Female,Docklands,2021,1706
Age 25-29,Female,Docklands,2023,1587
Age 25-29,Female,Docklands,2025,1642
Age 25-29,Female,Docklands,2030,1905
Age 25-29,Female,Docklands,2033,1950
Age 25-29,Female,Docklands,2036,1979
Age 25-29,Female,Docklands,2039,1887
Age 25-29,Female,Docklands,2041,1841
Age 25-29,Male,Docklands,2021,1702
Age 25-29,Male,Docklands,2030,1900
Age 25-29,Male,Docklands,2032,1905
Age 25-29,Male,Docklands,2033,1960
Age 25-29,Male,Docklands,2036,1987
Age 30-34,Female,Docklands,2021,1131
Age 30-34,Female,Docklands,2025,1514
Age 30-34,Female,Docklands,2027,1595
Age 30-34,Female,Docklands,2029,1599
Age 30-34,Female,Docklands,2033,1736
Age 30-34,Female,Docklands,2036,1598
Age 30-34,Female,Docklands,2037,1627
Age 30-34,Female,Docklands,2038,1679
Age 30-34,Female,Docklands,2040,1743
Age 30-34,Male,Docklands,2021,1237
Age 30-34,Male,Docklands,2028,1758
Age 30-34,Male,Docklands,2029,1743
Age 30-34,Male,Docklands,2035,1819
Age 30-34,Male,Docklands,2036,1745
Age 35-39,Female,Docklands,2024,916
Age 35-39,Female,Docklands,2025,1001
Age 35-39,Female,Docklands,2029,1358
Age 35-39,Female,Docklands,2030,1458
Age 35-39,Female,Docklands,2032,1536
Age 35-39,Female,Docklands,2034,1464
Age 35-39,Female,Docklands,2035,1432
Age 35-39,Female,Docklands,2040,1491
Age 35-39,Male,Docklands,2031,1803
Age 35-39,Male,Docklands,2032,1756
Age 35-39,Male,Docklands,2034,1700
Age 35-39,Male,Docklands,2036,1759
Age 35-39,Male,Docklands,2038,1792
Age 35-39,Male,Docklands,2039,1779
Age 35-39,Male,Docklands,2040,1701
Age 35-39,Male,Docklands,2041,1642
Age 40-44,Female,Docklands,2021,354
Age 40-44,Female,Docklands,2032,1061
Age 40-44,Female,Docklands,2034,1220
Age 40-44,Female,Docklands,2040,1274
Age 40-44,Male,Docklands,2021,495
Age 40-44,Male,Docklands,2022,543
Age 40-44,Male,Docklands,2024,686
Age 40-44,Male,Docklands,2025,798
Age 40-44,Male,Docklands,2026,900
Age 40-44,Male,Docklands,2031,1350
Age 40-44,Male,Docklands,2033,1554
Age 40-44,Male,Docklands,2034,1660
Age 40-44,Male,Docklands,2035,1756
Age 40-44,Male,Docklands,2038,1782
Age 40-44,Male,Docklands,2041,1802
Age 45-49,Female,Docklands,2021,388
Age 45-49,Female,Docklands,2022,419
Age 45-49,Female,Docklands,2023,433
Age 45-49,Female,Docklands,2024,472
Age 45-49,Female,Docklands,2029,749
Age 45-49,Female,Docklands,2038,1557
Age 45-49,Female,Docklands,2040,1779
Age 45-49,Male,Docklands,2024,423
Age 45-49,Male,Docklands,2026,489
Age 45-49,Male,Docklands,2032,925
Age 45-49,Male,Docklands,2036,1201
Age 45-49,Male,Docklands,2038,1386
Age 50-54,Female,Docklands,2022,401
Age 50-54,Female,Docklands,2023,409
Age 50-54,Female,Docklands,2024,434
Age 50-54,Female,Docklands,2026,487
Age 50-54,Female,Docklands,2027,528
Age 50-54,Female,Docklands,2028,559
Age 50-54,Female,Docklands,2029,594
Age 50-54,Female,Docklands,2030,632
Age 50-54,Female,Docklands,2032,720
Age 50-54,Female,Docklands,2035,971
Age 50-54,Female,Docklands,2037,1172
Age 50-54,Female,Docklands,2038,1273
Age 50-54,Female,Docklands,2039,1375
